"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","30.822538","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","117","46","3","54.360039","0","484"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","28","3","123.859360","0","54"
"Globals","0","2637","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","1","1","7.141779","0","55"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","3","1","3.481171","0","23"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","3","1","71.488884","0","211"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","1","1","4.146206","0","25"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","3.900998","0","16"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.989228","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","4","1","38.553181","0","40"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","4","1","71.875320","0","116"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","0.981167","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","4.435655","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","4.543425","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","10","1","117.067673","0","547"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","6","1","181.199768","0","1026"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","623","12","1","189.413559","0","24491"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","8","1","179.536011","0","956"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","4","1","447.292053","0","2161"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","0.990285","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","3.002258","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","3.248753","0","9"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","2","1","82.161324","0","118"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","3.477250","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.111119","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","2","1","42.632526","0","36"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","3.565108","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","11","1","85.763031","0","244"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","10","1","123.993126","0","221"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","2.111838","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","4.926596","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","119","119","1","141.519119","0","119"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","936","962","1","1411.408569","0","962"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","1","1","45.055019","0","169"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","1.212961","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","1.153538","0","4"
"/Game/2DSideScroller/Particles/M_Particle.M_Particle","0","84","3","1","97.179855","0","605"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","19","2","1","5.002016","0","50"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","2.746938","0","8"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","0","64","14","2","82.393044","0","290"
"/Game/2DSideScroller/Materials/PrototypingSpriteMaterial.PrototypingSpriteMaterial","0","7","8","1","2.903928","0","8"
